identifier,name
antonelladebenedictis331,Antonella  ...no direct🇨🇴🇮🇹
djmanuelcoby,Dj Manuel Coby
jogiorgiajo,Giorgia Gabriele
zanoxvii,Cristiano Spadaccini
jessicabrugali,Jessica Brugali
s.brunello,Silvia Brunello
jackvanore,JACK VANORE
silvietta_raffa,ѕιlvιa raғғaele oғғιcιal
la.superjey,jessica zanazzi
chiaracarcano,Chiara Carcano
roscannavoreal,Rosaria Cannavò🇮🇹
stewel92,Stephan El Shaarawy
illmostro,Mostro
valentinamarzullo,Vᴀʟᴇɴᴛɪɴᴀ Mᴀʀᴢᴜʟʟᴏ
robertobolle,Roberto Bolle
naliannalisa,ANNALISA
aidayespica27official,𝒜𝒾𝒹𝒶 𝒴𝑒𝓈𝓅𝒾𝒸𝒶
octypfi,OCTY
sabrinaghio,S A B R I N A G.
rovazzi,Fabio Rovazzi
clotildesansonee,Cloe☀️🌈🌻
manszelmerlow,Måns Zelmerlöw
aurora_sheaves,ʟᴀ sʜᴇᴀᴠᴇs
bonigiorgia,Giorgia Boni
alessiobernabei,Alessio Bernabei
danilodambrosioreal,Danilo D'ambrosio
morganofficial,"Marco ""Morgan"" Castoldi"
melissatanii,𝑀𝐸𝐿𝐼𝑆𝑆𝐴 𝑇𝐴𝑁𝐼 💕💅🏻✨
sofia_dallerive,Sofia Dalle Rive
sonia__lorenzini,Sonia Lorenzini
vanessapiazza89,Vanessa Piazza
benedetta_deluca,✨Benedetta De Luca✨
comedyitalia,Comedy Central Italia
lenne_j,𝐿𝐸𝒩𝒩𝐸 | 𝒫𝒽𝑜𝓉𝑜𝓂𝑜𝒹𝑒𝓁〡𝐵𝓁𝑜𝑔𝑔𝑒𝓇
saraaffifellaufficiale,S A R A
edoardoleo,Edoardo Leo
kokeshi.karen,Karen Casiraghi
antonellafiordelisi,🌸Antonella Fiordelisi🌸
annacirimbelli,Anna Cirimbelli
valentinufficiale,Valentin Alexandru Dumitru 🇷🇴
giuseppefiorello,Giuseppe Fiorello
mollis3746,Irene Mollisi
vittoriosgarbi,VITTORIO SGARBI
gianlucavacchi,Gianluca Vacchi
erica_piamonte_real,𝕰𝖗𝖎𝖈𝖆 𝕻𝖎𝖆𝖒𝖔𝖓𝖙𝖊
ambravaliul,AMBRA G. VALIULYTÈ️  ✖️✖️✖️
liaprofile,LIA
guendalinacanessa,Guendalina Canessa
bebe_vio,Beatrice Vio
elisadepanicis,Elisa Gold 🎤⭐️
hirvinglozano,Ro Loz
mikelignayt,Michela Parisi
veronica.gaggero,Veronica Gaggero
nicolorobbiano,NICOLÓ ROBBIANO
federicapaper,Federica Carta
aurora.cellii,AURORA CELLI
kimimatiasraikkonen,Kimi Räikkönen
irama.plume,Irama
amorosoof,Alessandra Amoroso
ayoubelbub,𝔸𝕐𝕆𝕌𝔹 𝔼𝕃 𝔹𝕌𝔹
erika_boldrin,Erika Boldrin
call_me_bl4ir,BL4IR
danieletoretto,Daniele Toretto Scardina
elisabettagregoracireal,Elisabetta Gregoraci
nimabenati,Nima Benati
ambralombardo.official,Ambra Lombardo
matteopicarazzi,Matteo Picarazzi - Dread
mrrainofficial,Mr.Rain
jessicamelena,jessica Melena
aliceparise,Alice Parise
anita_giudici,💋ANITA GIUDICI💋
lucianospalletti,Luciano Spalletti
diegogodin,Diego Godín
martina_socrate,Martina Lavinia Socrate
marchettisimone,Simone Marchetti
nerinafrancesca,💎 Francesca Nerina 💎
diodatomusic,Diodato
kiko_nalli_,Kikó Nalli
sarahnile,Sarah Ballantines Nile 💍
alessio.romagnoli,Alessio Romagnoli
ohmyfred,Federico P.
scuruchi,Vincenzo Scuruchi
maneskinofficial,Måneskin
alepiereal,Ale & Pié
gaia_sab99,Gaia Sabbatini
giuliamatera._,Giulia Matera
beatrice.lorenzi,Beatrice Lorenzi
martina_sergi,🌙 Martina
adrianobettinelli,Adriano Bettinelli
giulia_ferrarelli,Giulia Ferrarelli
ester_giordano,Ester Giordano
ninnaematti_official,Ninna e Matti
giuliabevi,Giulia Bevilacqua
francescachillemi___,FRANCESCA
marta_cerreto,Marta Cerreto
pinguini_tattici_nucleari,Pinguini Tattici Nucleari
enzomiccio,Enzo Miccio
ilpengwin,Kristian Pengwin
stefynazic,stefania saettone
melissasatta,Melissa Satta
daniele.davi,Daniele Daví
luana_aterrano,Luana Aterrano Official
stefaniabattaglini,Stefania Battaglini
federicapanicucci,Federica Panicucci
elenadamario,Elena d'Amario
agg_ufficiale,"Aldo, Giovanni e Giacomo"
colapesce,colapesce
thetruegemitaiz,TheTrueGemitaiz🌒
alice_lelli_,AL 🖤♥️
carolinastramare_,Carolina Stramare
ladybb___,Barbara Bertagni
andreadamante,D A M A
elelocci,Eleonora Isabel Locci
marikaferrarelli,Marika Ferrarelli
fedeasso,asso
enricobrignano,Enrico Brignano
jessica_auricchio,Jessica Ilaria Auricchio
lunamelis,Luneddu🦋
bennipi,Benedetta Porcaroli
emilypallini,Emilù
laura.cudone,Laura Cudone
omarspaneshi,𝐌𝐄𝐍 𝐅𝐀𝐒𝐇𝐈𝐎𝐍 𝐒𝐓𝐘𝐋𝐄 | 🇦🇱🇮🇹
guendagoria,꧁ 𝐺𝑈𝐸𝑁𝐷𝐴 𝐺𝑂𝑅𝐼𝐴 ꧂
boccialorella,Lorella Boccia
ludwigofficial,IT'$ LUDWIG B!TCH
michelemerlo,Michele Merlo
__univeti,Univeti
nayt,NAYT
__situation__,Carlotta Cocins
brazocrew,Mauricio Vieira A - BrazoCrew
zerocalcare,zerocalcare
albertourso_official,Alberto Urso
adriano.occulto,Adriano Occulto
ravottimartina,Martina Ravotti
silvia_davenia,👑 Silvia D’Avenia 👑
denise_carpentieri,DENISE
lasabrigamer,Sabrina Cereseto
michelapersico,Michela Persico
fabiomancini,Fabio Mancini
sofiaviscardi,sofia
jessica_dapozzo,Jessica Da Pozzo ☽
izimuzic,IZI
vincenzo_cairo,Vincenzo Cairo
cecilia_zagarrigo,Cecilia Zagarrigo 🎀
carlomengucci,Carlo Mengucci
tessmasazza,Tess Masazza
giuls.izzo,Gιυℓια Izzσ✨
sespo,Edoardo Esposito 👼🏻
carellaalessia,Alessia Carella🎀
morecosmaplease,COSMA
__merimaglione,__ℳeriℳaglione❣__
gianmarcovalenza,Gianmarco Valenza
selvaggiaroma_,SELVAGGIA
lorenzo_zurzolo,Lorenzo Zurzolo
stefanobuci,sbuci
francescabrambilla,Francesca Brambilla
manush_____,Manush🇮🇹
lucaepifani94,Luca Epifani
sarapiccione.official,SARA PICCIONE
nicolozaniolo,Nicoló Zaniolo
iamandreacerioli,ANDREA CERIOLI
albertonaska,Alberto Naska
emma_del_toro,Emma Del Toro
asiagianese,Asia Gianese
sarapagliaroli,Sara Pagliaroli
chiarastile,Chiara Stile Official
pierpaolopretelliofficial,Pierpaolo
francescatizzano,Francesca Tizzano
virginiaraffaele,Virginia Raffaele
giorgiaofficial,Giorgiaofficial
alecattelan,Alessandro Cattelan
violetta23,Violetta
mecontrote,Me contro Te | Sofì e Luì
andreadalcorso,ANDREA DAL CORSO
ariannacirrincione,𝑨𝒓𝒊𝒂𝒏𝒏𝒂
valeriangione,Valeria Angione ☀️
shaylinka,𝖲 𝖧 𝖠 𝖨 𝖫 𝖠   𝖦 𝖠 𝖳 𝖳 𝖠 🌸
iginio.massari,Iginio Massari
cristinamusacchio,CRISTINA
jessyfranceschetti,Jessica Franceschetti
silvialicius,Silvia Caruso
ultimopeterpan,Ultimo
andreapreti88,Andrea Preti
tizianoferro,Tiziano Ferro
chiara.na,Chiara Nascimben
andreiabacchini,Andreia🌻
mario_tricca_,Mario
alessiareato,AlessiaReato
ciaosonovirgi,Virginia Montemaggi
donze093,Alessandro Johan Donzella
camilamorrone,Camila Morrone
merisiel_irum,Merisiel
pietroboselli,Pietro Boselli
stefano.accorsi,Stefano Accorsi
amorelashytani,Amorela
siamoragazzii,Siamo Ragazzi
noncifermeremoperch,Non ci fermeremo perch
stupreme_,Stupreme
cerebrolesidituttiipaesi,Cerebrolesi di tutti i paesi
nesta,Alessandro Nesta
official_fattanza,Fattanza in abbondanza ™
saracarbonero,Sara Carbonero
emanuelemauti3,Emanuele Mauti
patriziachiappino,Patrizia Chiappino
samanthafrison,Samantha Frison
topcinquehorror,Horror
rebeccasodi,🍑ＢＥＢＥ🍑
alfaadf,ALFA
mariasole_pollio,☀️MSP
donatellabuccino,DonatellaBuccino
iolandapaparo,Iolanda Paparo
alessandra.celentano,Alessandra Celentano
dilettamenta,Diletta Amenta
nicolo_barella,Nicoló Barella
oscarbranzani,Oscar Branzani
giulia.ristuccia,✨ Giulia Ristuccia ✨
martina_nasoni_official_,𝐌𝐚𝐫𝐭𝐢𝐧𝐚 𝐍𝐚𝐱
quadri.indie,quadri Indie
lacrivello,GIORGINA🇮🇹
ilvolomusic,Il Volo
eva_henger,Eva Henger
marco.is.here,Marco Cellucci
_emilife,Emi's Life 🇮🇹
martinacarusoi,Martina Caruso
violantebattaglia,Violante Battaglia
itsmarziapie,Marzia Kjellberg
francesconappoph,Francesco Nappo
biancabalti,Bianca Balti
valeriamorici,Valeria🤍
eleolivieri,Eleonora Olivieri
giuliavalentina,Giulia Valentina
danielebossari,Daniele Bossari
tommasozorzi,Tommaso Zorzi
lorenzojova,lorenzojova
alessiamelpi,🎀Alessia Melpignano🎀
elena.berlato,ELENA
marchettino,Marco 🇮🇹
beatricevendramin,Beatrice Vendramin
roccosiffredi_official,Rocco Siffredi
lodocomello,🍿Lodovica Comello🍿
michelaquattrociocche,Miky
leo_boiboi,𝑬𝒍𝒆𝒐𝒏𝒐𝒓𝒂 𝑩𝒐𝒊
sarettasaina,ѕarəттa ѕaιna
lamastronardi,Alessandra Mastronardi
themerluzz,Maurizio Merluzzo
jacopomalnati,Jacopo Malnati
ipantellas,ipantellas
sofia.barbie,Sofia Barbieri
mirkoscarcella,Mirko Scarcella
cristianocaccamo,Cristiano Caccamo
castellimarco,Marco Castelli
costantinovitagliano,♛ 𝘾𝙊𝙎𝙏𝘼𝙉𝙏𝙄𝙉𝙊 ♛
martina_finocchio,Martina Finocchio
therealauroragram,Aurora Ramazzotti
raffaella_pastore,Raffaella Pastore
virgitsch,VirgiTsch 💎
iconize,Marco Ferrero
s17ne,Simone Etere (Αιθήρ)
floriana_messina,FLORIANA MESSINA
soniasghairi,Sonia Sghairi
iris_ferrari_,Iris Ferrari
giuliapenna_official,Giulia Penna
myss.keta,M¥SS KETA
federicabeninca,Federica Benincà
aliceghisellini,AlyG
missmashafromrussia,Masha
sarahfelberbaum,Sarah Felberbaum
giuliasalemi,Giulia Salemi
maria_cuomo98,Maria Cuomo - FITNESS
federicofederossi,Federico Rossi
valentinalattanzio_youtube,Valentina Lattanzio
disperatamentemamma,Julia Elle
ilpancio,Andrea Panciroli
justgabbo,Gabriele Gaiba
nekfilipponeviani,Nek Filippo Neviani
gabryponte,gabry ponte
lauradamore_,🌸LAURA D'AMORE ®🌸
pietro_tartaglione,Pietro Tartaglione
evariccobono,Eva Riccobono
francesca_michielin,Francesca Michielin
poetaurbano,Rocco Hunt
marisapassera,Marisa Passera
rosario_fiorello,Rosario Fiorello
sergioparisse,sergioparisse
insta_paolina,Paola Saulino 🍯
amoremiioh,Amore Mio
lcuccarini,Lorella Cuccarini
j.axofficial,J-Ax
maddalena_corvaglia,Maddalena Corvaglia
alessandro_gassmann_official,Alessandro Gassmann Official
naomidecrescenzoreal,Naomi Selvaggia De Crescenzo
amore_adistanza_official,Amore a distanza🇮🇹 Frasi ✍️
itsgiuliaguerrini,Giulia Guerrini
sofia_sofia9379,SOFÍASOFÍA
guendalinatavassi,Guendalina Tavassi
morena_avagliano_,Morena__ 👄
rebecca_staffelli,Becky
elenamici,ElenaL
m16no,Andrea Migno
jaser182,Jaser
mila.suarez_,Mila Suarez🧿
kingmarracash,Marracash
francescanardo,Francesca Nardo
jennydenucci,J E N N Y NOT J E N N I F E R
elenasofiapicone,Elena Sofia
matteopelusi,Matt Pelusi - Matt & Bise
federic95ita,federic95ita®
nathaly.caldonazzo,Nathaly Caldonazzo
antonio_moriconi11,ANTONIO MORICONI
rosalba,ROSALBA👼🏻
alexander_rux,Alessandro Russiani__💙
andrearanocchia,Andrea Ranocchia
eneabarozzi_,Enea Barozzi
jakidale,Jacopo D’Alesio
michelleputtini,Michelle
veroniicamacchi,Veroniica macchi
alessiamarcuzzi,ALESSIA MARCUZZI
digitalmodernfamily,Digital Modern Family
opheliamillaiss,Alice Pagani
twoplayersoneconsole,Stef & Phere
alex_mucci,ALEXIS
simonasalvemini,Simona Salvemini
l.cobelli,LUCA COBELLI
giuliettilini,Giulia Michelini
fabioattanasio,The Bespoke Dudes
lucaviganohappy,LUCA_VIGANÓ
eugeniocolombodj,EUGENIO_COLOMBO
giacomohawkman,Giacomo Hawkman
giuliacalcaterra,S ℰ L V Λ T I C Λ 🕊
dottolck,LUCA DOTTO
mario_sorrenti,mario_sorrenti
mahmood,Mahmood
nicolecereseto,Nicole Cereseto 🌻
alessia_prete_official,ALE ☀️
federicalelli,Federica ⭐️
angelica_scaglione,Angelica Scaglione 🌍
lebonwski,Salmo Official
robertomagro_,Roberto Magro
vegasjones,VEGGIE BELAIR
denisdosio,Denis Dosio
valeriolag,Valerio Lagnese 💘
ibrastu97,Ibrahim Chaabt 💕
ambra_pazzani,Ambra Pazzani
lillymeraviglia,Lilly Meraviglia
vincenzotedesco97,Vincenzo Tedesco
teuzzo,Matteo Piano
awed__,Simone Paciello
christyswandj,Cristina Rescigni
shadesofbanana,Banana (Valentina Vernia)
roberryc,Roberta Carluccio
mikelamikii,MIKELA MIKI 🇦🇱🇮🇹
showtime_gp,Giampaolo Calvaresi ( P.T. ) 🦍
jodyjdc,JODY CECCHETTO
sara.disturco,Sara.disturco
gianluca__tornese,• 𝐆𝐈𝐀𝐍𝐋𝐔𝐂𝐀 𝐓𝐎𝐑𝐍𝐄𝐒𝐄 • ⚡️
contiandrea12,Andrea Conti🇮🇹
kekko_bomba,Kekkobomba
michael_gambuzza,MICHAEL GAMBUZZA
letwins__,LeTwins-Ylenia e Nicole Burato
ambraofficial,Ambra Angiolini
dimartinoofficial,Dimartino
giuly___giuly__,🌻 🅶🅸🆄🅻🅸🅰 🅿🆁🅾🅸🅴🆃🆃🅸 🌻
stefanoguerrera,Stefano Guerrera
luigi_mastroianni,Luigi Mastroianni
arian_zamani,Arian Zamani ﮼آرین‌زمانی ﮼
alessia_cammy_,Alessiacammy
irene.capuanoo,Irene
gianluca_lapadula_official,Gianluca Lapadula
kissandmakeup01,NICOLE HUSEL
swamicaputo,Swami Caputo
frankymorbido,Franco Morbidelli
benjiefede,Benji & Fede
lorepelle7,Lorenzo Pellegrini
therealmarzaa,Francesco Marzano.
sofiasembiantee,stereotipo
ciliateresaofficial,Teresa Cilia Official
elebertoli,Eleonora Bertoli
ilaryblasi,Ilary Blasi
coezofficial,coezofficial
ludovicaolgiati,Ludovica Olgiati
playerinside,PLAYERINSIDE OFFICIAL
alessiamacari,Alessia Macari
francescomontereal,Francesco Maria Monte
michael_spampinato,Michael Spampinato ( Mich )
noyz79,Noyz Narcos
ceciliacantarano,Cecilia💛
aless2ndro,@aless2ndro here.
alfosignorini,Alfonso Signorini
gabrydetti,Gabriele Detti
andreadovizioso,Andrea Dovizioso
rancore_official,RANCORE official
monicabellucciofficiel,Monica Bellucci
iamandreazelletta,Andrea Zelletta
inoobchannel,iNoob
white.essence,Catia Braccio 🎀
stella.manente.official,S T E L L A   M A N E N T E 🇮🇹
enock17,Enock Barwuah 🇮🇹❤️🇬🇭⚡️🦍
tommasoparadiso,Tommaso Paradiso
chadiaarodriguez,CHADIA RODRIGUEZ
alessandra.moro,Alessandra Moro
manuel_achille_vallicella,MANUEL VALLICELLA
dariovignali,Dario Vignali
elodie,Elodie
virginiamontemaggi,Virginia Montemaggi🌈
giuliomaggio.official,Giulio Maggio
carlyferly,Carlotta Ferlito♡
aury_sa21,Aury_sa21®️
alicecarbotti,Alice Carbotti
francesco_mandelli,Francesco Mandelli
klaus,Klaus - Tudor Laurini
pierfrancescofavino,Pierfrancesco Favino
holyernia,Ernia
lapinadeejay,lapinadeejay
valentinadallari_,Valentina Dallari
cosedaragazzi_,Cose Da Ragazzi 😈
ghali,GHALI
sabrincasula,Sabrina
vero__ava,Vero Ava
angelachianello_real,Angela Chianello
eleonoracarisi,Eleonora Carisi
tmblurrr,Gianmarco Tocco
mattiaperin,Mattia Perin
clarissamoretta,clarissamoretta
saimon_mh,Simone Vandelli
ilsignordistruggere,Vincenzo Maisto
stefano.sturaro,Stefano Sturaro
emalloru,Emanuele Malloru
valebise,Valentino Bisegna-Matt & Bise
alessiamaccanti_,⚡️A L E S S I A⚡️
surry,Surry
lauramolinapr,Laura Molina
ylenia_debellis,✶｡  🌸  уℓєηια  🌸 ｡✶
miss_mamma_sorriso,𝑀𝒾𝓈𝓈 𝑀𝒶𝓂𝓂𝒶 𝒮𝑜𝓇𝓇𝒾𝓈𝑜
abate_gio,Giovanna Abate
daddatoo,Marta Daddato
amedeogrieco,Amedeo Grieco
brunellacacciuni,Brunella Cacciuni
lorenzofragola,🍓
frasistronze.official,FRASI/MEME DIVERTENTI 😋
boroboro35,Boro Boro
stefano_cicchini,Content Creator ✈ Travel&Food
beatricecossuu,Bea🤍
humansafari,Nicolò Balini
anastasio_quello,Marco Anastasio
damoremarco,Marco D'Amore
lucilla.jiggly,Lucilla Materazzi 🌙
serenaippolitoo,Serena Ippolito
saratomasoniii,𝙎𝙖𝙧𝙖 𝙏𝙤𝙢𝙖𝙨𝙤𝙣𝙞 🐯
alessandromontesi,Monte
sceglidivivere,Sceglidivivere ®
dayanemelloreal,Dayane Mello
elenahazinah,ELÉNA HAZINAH.
procopio_julia,J Procopio
therealhellen,ʜᴇʟʟᴇɴ
danielcosmic,Cosmic el Prínci
hydemagician,Hyde
b3nm,Benjamin Mascolo
danny_lazzarin,ᴅᴀɴɴʏ ʟᴀᴢᴢᴀʀɪɴ
sonopaolobonolis,Paolo Bonolis
llaurengibson,Lauren gibson
martinaatorre,👸🏼MISS .MT👸🏼
gennilillio,Gennaro Lillio
chiaraxoxo02,Chiara Di Quarto
daniele_montani,Daniele montani
christina.bertevello,Bada$$ B Christina Bertevello
lyonwgf,WhenGamersFail
fuckshiva,SHIVA
luca_and_katy,Katia Brivio
seialloscientifico_official,Sei Allo Scientifico®
frac77,francescacosta
folz.a,Anna Folzi
giorgy0506,Giorgia Rossi
ariannatriassi_official,Arianna Triassi 🎧⚜️
sabinoantonelli,Sabino Antonelli
mengonimarcoofficial,Marco Mengoni
melaniadallacosta,Melania Dalla Costa
giorgiochiellini,Giorgio Chiellini
salvodic1989,Salvatore Di Carlo
jstdrk,Just Drake
sigh.tanc,Tancredi Galli
diegolazzari_,Diego Lazzari
theladyxoxo,𝐄𝐥𝐞𝐨𝐧𝐨𝐫𝐚 𝐓𝐚𝐧𝐢
maritbuccino,Maria Teresa Buccino
claudia.dorelfii,Claudia Dorelfi
alexmagix,Alessandro Parabiaghi
calcutta_foto_di,C A L C U T T A
inestrocchia,Inès Trocchia
ileniamunaretto,Ilenia Munaretto
leonciino,Lea Cuccaroni
rominapierdomenico,MINA FIRE
giorgiacaldarulo23,GIORGIA CALDARULO
brahmino,Simone Bramante
il_3official,IL TRE
williepeyote,Ludwig van Peyote
gre_rossetti,Greta Rossetti
mattiacaldara,Mattia Caldara
angelanastiofficial,Angela Nasti
martinasmeraldiofficial,MARTINA SMERALDI💚
zoda,zoda
gionnyscandalreal,GionnyScandal †👩🏻‍🎤
robertdenitro,Nitro Wilson
barbarafrancescaovieni,Barbara Francesca Ovieni
twinsofficialpage,T W I N  S I S T E R S🌈
francesca_labionda,Francesca Feola
vitoshade,Shade
francescosaverionozzolino,Francesco Saverio Nozzolino
gaiamaniglio_,Gaia Maniglio
roberto.gagliardini,Roberto Gagliardini
tommasoscalaofficial,Tommaso Scala
orgvsm,ORGVSM ®
evamenta,Eva Menta
gaaiabianchii,gaia bianchi 👸🏼💸
davidevavala,davide vavalà
vallespaziale,Space Valley
ninazilliofficial,Ninja Zilli
mely.tejada_,Melissa Tejada ❥
tonyeffebaby777,TONY $O$A
sergiosylvestreofficial,Sergio SylVestre
mr_magnesio,Alessandro Andreini
franchino126,Franco126
virginiatomarchio,Virgin🦋
federicatoci_,Federica
ggoldivaa,𝑫𝑬𝑳𝑭𝑰 𝑴𝑨𝑹𝑻𝑰𝑵𝑬𝒁
maurorossiello,Mauro Ro$$iello 👑
tipaldi,🇮🇹 🇺🇸 Christian Tipaldi
martinabrondin,(mar)tina
capoplaza,Capo Plaza
mattiadesciglio2,Mattia De Sciglio Official
michelariganelli,Michela Riganelli
lady_s_dreamer,Greta De Santi
stefandevrij,Stefan de Vrij
martinapicardii,MARTINA PICARDI
imenjane,IMEN
macciocapatonda_official,Maccio Capatonda
daniruga,Daniele Rugani
raissarussi,Raissarussi
favij,Lorenzo Ostuni
carlocracco,Carlo Cracco
enriconigiotti,Enrico Nigiotti
ketama126,LIL KETY ❄
simonezaza,Simone Zaza
kriswilson.italiaofficial,Kris Wilson Italia
rickygissss,Riccardo Gismondi
sicklukex2,SICK LUKE X2 🦇🦋
manuelaarcuri_official,Manuela Arcuri
valerio.mazzei,Valerio🐺
goldengianpy,Gianpaolo Simonelli
perlab0rghini,XLA
peppe_cirivello,Peppe Cirivello✨
rebecca.gradoni,𝖪 𝗈 𝗆 𝗈 𝗋 𝖾 𝖻 𝗂
ladivadeltubo,Alisha Griffanti 👑
asiabusciantellaa,ASIA🤍
martina_francia,Martina Francia
hell_raton,Hell Raton | Manuelito
annapep3,AYYY ANNA 💨💕
leonardobru,Leo
stefanosensi12,Stefano Sensi
rossellalongo__,Rossella Longo
idaplatano,Ida
violini.luciana,Luciana Violini
giuseppe.spitalerii,Giuseppe Spitaleri Official
gigiyt,Luigi Puccianti
saulnanni,Saul Nanni
amedeoandreozzi.ig,AMEDEO  ANDREOZZI
miaceran,Mia Ceran
angeloduro,Angelo Duro
yleniagrambone,yle :(:
itsmuimui,Marina Mui
giooorgiamalerba,MALERBA
carlotta_tadolini,Carlotta Tadolini
manueldibernardoreal,𝑴𝑨𝑵𝑼𝑬𝑳 𝑫𝑰 𝑩𝑬𝑹𝑵𝑨𝑹𝑫𝑶 ♛
nicolepallado,Nicole
maxfelicitas.official,Max Felicitas
rkomi,mirko
fabri_fibra,Fabri Fibra
federicamasolin,Federica Masolin
laurabragato,LAURA BRAGATO ♥️
maryamcheriff,Maryam 🦋
hey.sober,SOBER
nyvofficial,NYV
rafael.nistor,Rafael Nistor
ryryprevedel,RYAN PREVEDEL
lericette.delladidisec,DilettaSecco
gaiamacula,G🖤
marco.grassi.painter,Marco Grassi
rubenparisi,RUBEN PARISI †
chiaraverzella,chiaraverzella
linda_stabilini,Linda Stabilini
guglielmoscilla,willwoosh
francescaiannuariomelillo,Francesca Iannuario Melillo
dianadelbufalo,Diana del Bufalo
fishball_sg,Fi$H con la Gheng ☏ ⁶⁶⁶ 🇮🇹🐡
samuele.fazzi,Samuele Fazzi
kingpompoms,King👑
grealisisters,Greta And Alice 👥
darkwaynesantana777,WAYNE $ANTANA
homywankenobi,✶✩H̵̳̯͙̯̰̬͐́̉̉̽̓̐̄͗̕͠o̷myatol
michellecavallaroo,Michelle Cavallaro
michelangelo.vizzini,M I C H E L A N G E L O 👼🏻
carlotta.peruffo,CP ♌️
vittoriomagazzu,Vittorio Magazzù
tinacipollarioriginal,Tina Cipollari Original
jacknobile,Jack Nobile
alessiaferrante,ALESSIA FERRANTE
thechilicool,Alessia Milanese
alex_meret,Alex Meret
stefanobettarini1,•𝐒𝐓𝐄𝐅𝐀𝐍𝐎 𝐁𝐄𝐓𝐓𝐀𝐑𝐈𝐍𝐈•
annaciati,ᴀɴɴᴀʀᴏsᴇ
marymilano,Mariangela Milano
matiascaviglia.mc,Matias Caviglia
er.gennaro,ALESSANDRO SCARPA
doublecblogreal,Double C Blog Official ™
francescapreani,Francesca Preani
trustnotyler,Tyler Strikes 🤹🏻‍♂️
drefgold,KANAGLIA
morichels,Esmeralda Morichelli
theblackboys_real,The Black Boys
carmineguadagno,Carmine 🌞 💝
__mister_z,Marco
lady_giorgia_official,giorgia
daniele_dal_moro,Denzel
francescochiofalo_,❌FRANCESCO CHIOFALO❌
michelebravi,Michele Bravi
theofficialvalespo,Valespo
sickmadman,Ⓜ️Ⓜ️
2cellosofficial,2CELLOS
matt_zeero,Hi im Zeero
gretamenchi,BLODY
klaudiapoznanskaa,Klaudia Basia Poznańska
instamuscix,Muscix - Roberto Muscillo
cris_cutro,CRISTIAN CUTRONA 👉🏻👈🏻🥺
rosymaggiulli,Maggiulli Rosy
maggygioia,MaggyGioia
lacornali,Francesca Cornali
gioiaguidolotti,𝒢𝒾𝑜𝒾𝒶 👼🏻
zangare,Jasmin
xoxoludo,Ludovica Minerva
deboraconigliaro,Debora Conigliaro
giovannibonaccinii,Giovanni Bonaccini
graziaditoma_official,Grazia Di Toma🏳️‍🌈
brisida.s,🎂🥜🍹🥂BRIBBIX🥂🍯🍩🍿
albericoyes,Alberico De Giglio
melissa_gilardi,meli
florin_vitan_official,FLORIN VITAN®
dimitri__tincano,DIMITRI DJ🔥
tedua_wildbandana,VV
pierinotv,Pier Francesco Gentili
fabiolazzarinii,FABIO LAZZARINI
realgeolier2,RICH GUAPP’
estebanfrigerioo,Ceo of Esteban Frigerio
kessy.tejada_,cassandra tejada
francesca_fioretti,Francesca Fioretti
aldopalmeri90,Aldo Palmeri
luigi.calagna,Luì ⚡️Me contro Te
iitsace,ace 💜
thefrenchmole,FRENCHMOLE
ottavia.devivo,Ottavia De Vivo
usso96,Usso
camillabonardii,c a m i l l a
m_irko_01,Mirko Magliocco
patrizio_morellato,𝐏𝐀𝐓𝐑𝐈𝐙𝐈𝐎 𝐌𝐎𝐑𝐄𝐋𝐋𝐀𝐓𝐎💔
giangidoppiaggi,GiangiDoppiaggi
simoneberlini,SIMONE BERLINI
marcoandmattiaa,Marco e Mattia Munda
antonydifra,Antony Di Francesco
gabriele_dechiara,gabriele 😊
jingherly,Jingy🦥
vivi.marcucci,start romanticizing ur life
davidemoccia,𝐃𝐚𝐯𝐢𝐝𝐞 𝐌𝐨𝐜𝐜𝐢𝐚 ✪
massimopericolo,EMODRILL 💔
zedforzane,Riccardo Zanetti
beaxmartinez,Bea Martinez👑
rippanza,Filippo Alfieri
camillabortolami,milla
flavio.ercoli,Flavio Ercoli
gianrigo7,👩🏼‍🎤IPALBOY🌟
matesyt,Mates
eliadibono,eliadibono🦅
michelangelo,MICHELANGELO aka “X”
juniorcally,JUNIOR CALLY
biancasparkless,BIANCA SPARKLES
callmebucci,Alessio Buccinnà
_filippoandreoni_,Filippo Andreoni
vegasyt,Vegas - Giuseppe Greco
samueledimartino_,Samuele Di Martino
samuelebrignoccolo,Samuele Brignoccolo
_giadabosetti_,
fabio_ferrara_,Fabio Ferrara
_erikaricci_,Erika Ricci
giorgiaa46,Giorgia Cavalluzzo 🐍
claudia_culotta,
draghetto86,Vincenzo Langella
